Recaudador,Estudio Jurídico Romero D & Asociados S.A.,Guayaquil,1,N/A
Bodeguero,ASESORCAPT,Ambato,1,N/A
Ingeniero automotriz o técnico automotriz,Bombastic S.A.,Quito,1,N/A
Asesor Comercial,Edificar,Quito,1,N/A
Administrador de Tienda,"",Machala,1,N/A
Asesor de ventas de campo,Talent Hunter,Machala,1,N/A
Administrador de Tienda,"",Huaquillas,1,N/A
Ejecutivo de Servicio al Cliente,Cooperativa Jep,Cuenca,1,N/A
Asesor de ventas,"",Quevedo,1,N/A
Oficial de Negocios,Cooperativa Jep,Cuenca,1,N/A
Operador de Equipo Industrial,"",Huaquillas,1,N/A
Oficial de Negocios,"",Guayaquil,1,N/A
Auxiliar de Trade Marketing Guayaquil,Italimentos Cía. Ltda.,Guayaquil,1,N/A
Cajero,"",Portoviejo,1,N/A
Verificador de ATM,Cooperativa Jep,Cuenca,1,N/A
Laboratorista de calidad,Italimentos Cía. Ltda.,Cuenca,1,N/A
Operador de Equipo Industrial,"",Machala,1,N/A
Mensajero,Cooperativa Jep,Cuenca,1,N/A
Coordinador de Investigación y Desarrollo. Empaques,Italimentos Cía. Ltda.,Cuenca,1,N/A
