Trabajo,Empleador,Localizacion,Fecha
ANALISTA DE BI QUITO,Serinse S.A.,Ecuador,1
GERENTE ADMINISTRATIVO FINANCIERO - QUITO,Manpower,Quito,2
Ing de Monitoreo BOC,Telconet,Quito,2
EJECUTIVO DE VENTAS QUITO ENERO 2021,Colineal,Quito,2
EJECUTIVO DE VENTAS QUITO ENERO 2021,Claro,Quito,2
Jefe de Recursos Humanos,Deloitte,Ambato,2
ESPECIALISTA FORMS Y REPORTS,Claro,Quito,2
Mecánicos II,Naturisa S.A.,Guayaquil,0
Ingeniero Eléctrico,Naturisa S.A.,Guayaquil,0
Ejecutivo Comercial,Solución Legal,Guayaquil,0
Analista programación,Empresa Software Quito SisConti S.A,Quito,1
Coordinador de Información Logística y S OP,Italimentos Cía. Ltda.,Cuenca,1
Asistente para  Atención al Paciente. Plan de carrera,"",Quito,1
Recepcionista para  Atención al Paciente incorporación inmediata,"",Francisco de Orellana,1
Profesional Emergencias médicas Prehospitalaria,"",Francisco de Orellana,1
"Laboratorista o Bioquímico Clínico, con experiencia","",Francisco de Orellana,1
Administrador de Local Comercial,"",Guayaquil,1
Profesional de cuarto nivel en Biologia molecular,"",Quito,1
Médico Ocupacional con disponibilidad tiempo completo.,"",Quito,1
"Flebotomísta Profesionales, Lic. en enfermeria, Prehospitalarios","",Quito,1
Ing. CPA. Asistente contable con experiencia en cobranzas,"",Quito,1
Médico Ocupacional con experiencia comprobable para el Coca,"",Quito,1
Electricista,Naturisa S.A.,Guayaquil,1
Mecánico Electrónico,Naturisa S.A.,Guayaquil,1
Operador de Equipo Industrial,"",Babahoyo,1
Ejecutivo de Inversiones,"",Pastaza,1
Ing. Talento Humano con experiencia en,"",Quito,1
Promotor/a,Lucky Ecuador,Loja,1
Operador de Equipo Industrial,"",Quevedo,1
Asesor Comercial,AUTECNA PARTS CIA LTDA,Quito,1
"Chef Profesional, proactivo, con valores y disponibilidad de trabajar","",Quito,1
Supervisor Bodega UIO,Fuentes San Felipe,Quito,1
Promotor/a,Lucky Ecuador,Cuenca,1
Maquinistas Marineros Capitanes,Naturisa S.A.,Guayaquil,1
diseñador grafico con dotes de vendedor y manejo de redes sociales,Medicalab,Guayaquil,1
Ejecutivo de Inversiones,"",Cuenca,1
Asesor Comercial para realizar Ventas por Call Center,TACATRAVEL COMPANY,Quito,114
Coordinador académico,ITESUT,Quito,113
Abogado/a,"",Guayaquil,45
Asistente de ventas y marketing,Rivca,Quito,83
Jefe de Logistica,"",Cuenca,163
vendedor de local de repuestos hidraulicos/ despachos,HIDRONEUMATIC,Cuenca,88
bodeguero/ despachador de repuestos hidraulicos,HIDRONEUMATIC,Cuenca,175
Community manager,Latino América Medialam Cía. Ltda.,Quito,85
Desarrollador Web,MagnusMas,Quito,37
Vendedor con experiencia en consumo masivo,"",Loja,160
PHP Architect,BairesDev SA,Guayaquil,188
QA Automation Leader,BairesDev SA,Guayaquil,184
